inchikey,smiles,value,tier,scaffold
TZIHFWKZFHZASV-UHFFFAOYSA-N,COC=O,254.261111,tier1,EMPTY_SCAFFOLD
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,266.483333,tier1,EMPTY_SCAFFOLD
NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,273.15,tier1,EMPTY_SCAFFOLD
YWAKXRMUMFPDSH-UHFFFAOYSA-N,C=CCCC,255.372222,tier1,EMPTY_SCAFFOLD
BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,302.594444,tier1,EMPTY_SCAFFOLD
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,269.261111,tier1,EMPTY_SCAFFOLD
KFNNIILCVOLYIR-UHFFFAOYSA-N,CCCOC=O,270.372222,tier1,EMPTY_SCAFFOLD
LIKMAJRDDDTEIG-UHFFFAOYSA-N,C=CCCCC,242.038889,tier1,EMPTY_SCAFFOLD
POLCUAVZOMRGSN-UHFFFAOYSA-N,CCCOCCC,294.261111,tier1,EMPTY_SCAFFOLD
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,315.927778,tier1,EMPTY_SCAFFOLD
SQCZQTSHSZLZIQ-UHFFFAOYSA-N,CCCCCCl,285.927778,tier1,EMPTY_SCAFFOLD
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,300.927778,tier1,EMPTY_SCAFFOLD
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1,293.15,tier1,c1ccncc1
PFEOZHBOMNWTJB-UHFFFAOYSA-N,CCC(C)CC,240.927778,tier1,EMPTY_SCAFFOLD
PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,315.927778,tier1,EMPTY_SCAFFOLD
XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,328.15,tier1,EMPTY_SCAFFOLD
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,253.15,tier1,C1CCCCC1
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,355.927778,tier1,EMPTY_SCAFFOLD
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,298.15,tier1,EMPTY_SCAFFOLD
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,344.816667,tier1,EMPTY_SCAFFOLD
HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1,266.483333,tier1,C1=CCCCC1
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,354.261111,tier1,EMPTY_SCAFFOLD
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,288.705556,tier1,EMPTY_SCAFFOLD
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,219.261111,tier1,EMPTY_SCAFFOLD
BZLVMXJERCGZMT-UHFFFAOYSA-N,COC(C)(C)C,245.372222,tier1,EMPTY_SCAFFOLD
MSXVEPNJUHWQHW-UHFFFAOYSA-N,CCC(C)(C)O,313.705556,tier1,EMPTY_SCAFFOLD
DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,294.816667,tier1,EMPTY_SCAFFOLD
ODLMAHJVESYWTB-UHFFFAOYSA-N,CCCc1ccccc1,303.15,tier1,c1ccccc1
PPBRXRYQALVLMV-UHFFFAOYSA-N,C=Cc1ccccc1,305.372222,tier1,c1ccccc1
JMMWKPVZQRWMSS-UHFFFAOYSA-N,CC(=O)OC(C)C,275.372222,tier1,EMPTY_SCAFFOLD
MCSAJNNLRCFZED-UHFFFAOYSA-N,CC[N+](=O)[O-],300.927778,tier1,EMPTY_SCAFFOLD
CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(Cl)=C(Cl)Cl,318.15,tier1,EMPTY_SCAFFOLD
PIICEJLVQHRZGT-UHFFFAOYSA-N,NCCN,307.038889,tier1,EMPTY_SCAFFOLD
QQONPFPTGQHPMA-UHFFFAOYSA-N,C=CC,165.372222,tier1,EMPTY_SCAFFOLD
RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,239.816667,tier1,EMPTY_SCAFFOLD
SUVIGLJNEAMWEG-UHFFFAOYSA-N,CCCS,253.15,tier1,EMPTY_SCAFFOLD
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,278.705556,tier1,EMPTY_SCAFFOLD
BZHJMEDXRYGGRV-UHFFFAOYSA-N,C=CCl,195.372222,tier1,EMPTY_SCAFFOLD
IAYPIBMASNFSPL-UHFFFAOYSA-N,C1CO1,218.15,tier1,C1CO1
SNMVRZFUUCLYTO-UHFFFAOYSA-N,CCCCl,242.038889,tier1,EMPTY_SCAFFOLD
VXNZUUAINFGPBY-UHFFFAOYSA-N,C=CCC,194.261111,tier1,EMPTY_SCAFFOLD
JJWLVOIRVHMVIS-UHFFFAOYSA-N,CC(C)N,235.927778,tier1,EMPTY_SCAFFOLD
KAKZBPTYRLMSJV-UHFFFAOYSA-N,C=CC=C,197.038889,tier1,EMPTY_SCAFFOLD
WBJINCZRORDGAQ-UHFFFAOYSA-N,CCOC=O,269.261111,tier1,EMPTY_SCAFFOLD
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,297.038889,tier1,EMPTY_SCAFFOLD
KDSNLYIMUZNERS-UHFFFAOYSA-N,CC(C)CN,255.372222,tier1,EMPTY_SCAFFOLD
QWTDNUCVQCZILF-UHFFFAOYSA-N,CCC(C)C,215.927778,tier1,EMPTY_SCAFFOLD
AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,238.15,tier1,EMPTY_SCAFFOLD
MHNNAWXXUZQSNM-UHFFFAOYSA-N,C=C(C)CC,266.483333,tier1,EMPTY_SCAFFOLD
TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,286.483333,tier1,EMPTY_SCAFFOLD
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,C=CCCCCC,273.15,tier1,EMPTY_SCAFFOLD
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,330.927778,tier1,EMPTY_SCAFFOLD
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,304.261111,tier1,EMPTY_SCAFFOLD
CRSOQBOWXPBRES-UHFFFAOYSA-N,CC(C)(C)C,208.15,tier1,EMPTY_SCAFFOLD
GXDHCNNESPLIKD-UHFFFAOYSA-N,CCCCC(C)C,269.261111,tier1,EMPTY_SCAFFOLD
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,343.15,tier1,c1ccccc1
UAEPNZWRGJTJPN-UHFFFAOYSA-N,CC1CCCCC1,269.261111,tier1,C1CCCCC1
FKRCODPIKNYEAC-UHFFFAOYSA-N,CCOC(=O)CC,285.372222,tier1,EMPTY_SCAFFOLD
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,225.372222,tier1,EMPTY_SCAFFOLD
JVSWJIKNEAIKJW-UHFFFAOYSA-N,CCCCCC(C)C,278.15,tier1,EMPTY_SCAFFOLD
QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(C)=O,298.15,tier1,EMPTY_SCAFFOLD
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,325.372222,tier1,c1ccccc1
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,288.15,tier1,c1ccccc1
ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,244.261111,tier1,EMPTY_SCAFFOLD
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,337.594444,tier1,c1ccccc1
KQNPFQTWMSNSAP-UHFFFAOYSA-N,CC(C)C(=O)O,349.816667,tier1,EMPTY_SCAFFOLD
OBNCKNCVKJNDBV-UHFFFAOYSA-N,CCCC(=O)OCC,298.705556,tier1,EMPTY_SCAFFOLD
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,CC(C)OC(C)C,245.372222,tier1,EMPTY_SCAFFOLD
FLTJDUOFAQWHDF-UHFFFAOYSA-N,CCCCC(C)(C)C,269.261111,tier1,EMPTY_SCAFFOLD
KUMXLFIBWFCMOJ-UHFFFAOYSA-N,CCCC(C)(C)CC,272.038889,tier1,EMPTY_SCAFFOLD
OCKPCBLVNKHBMX-UHFFFAOYSA-N,CCCCc1ccccc1,344.261111,tier1,c1ccccc1
PGMYKACGEOXYJE-UHFFFAOYSA-N,CCCCCOC(C)=O,298.15,tier1,EMPTY_SCAFFOLD
SVONRAPFKPVNKG-UHFFFAOYSA-N,CCOCCOC(C)=O,327.594444,tier1,EMPTY_SCAFFOLD
UWNADWZGEHDQAB-UHFFFAOYSA-N,CC(C)CCC(C)C,270.927778,tier1,EMPTY_SCAFFOLD
AOGQPLXWSUTHQB-UHFFFAOYSA-N,CCCCCCOC(C)=O,332.038889,tier1,EMPTY_SCAFFOLD
GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(=O)OCC(C)C,290.927778,tier1,EMPTY_SCAFFOLD
NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,260.927778,tier1,EMPTY_SCAFFOLD
OKVWYBALHQFVFP-UHFFFAOYSA-N,CCC(C)(C)C(C)C,273.15,tier1,EMPTY_SCAFFOLD
RLPGDEORIPLBNF-UHFFFAOYSA-N,CC(C)C(C)C(C)C,273.15,tier1,EMPTY_SCAFFOLD
XTDQDBVBDLYELW-UHFFFAOYSA-N,CCC(C)C(C)(C)C,269.816667,tier1,EMPTY_SCAFFOLD
GWHJZXXIDMPWGX-UHFFFAOYSA-N,Cc1ccc(C)c(C)c1,318.705556,tier1,c1ccccc1
JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],309.261111,tier1,EMPTY_SCAFFOLD
YTZKOQUCBOVLHL-UHFFFAOYSA-N,CC(C)(C)c1ccccc1,333.15,tier1,c1ccccc1
PBKONEOXTCPAFI-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1,378.705556,tier1,c1ccccc1
LQNUZADURLCDLV-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1,360.927778,tier1,c1ccccc1
QZYHIOPPLUPUJF-UHFFFAOYSA-N,Cc1cccc([N+](=O)[O-])c1,374.816667,tier1,c1ccccc1
INQOMBQAUSQDDS-UHFFFAOYSA-N,CI,255.927778,tier1,EMPTY_SCAFFOLD
DNJIEGIFACGWOD-UHFFFAOYSA-N,CCS,224.816667,tier1,EMPTY_SCAFFOLD
QUSNBJAOOMFDIB-UHFFFAOYSA-N,CCN,227.038889,tier1,EMPTY_SCAFFOLD
