smiles,mean,std,n
C1CC2CCC1C3CCC2C=C3,33.0,0.0,1
C1CC2CCC1C=C2,23.2,3.9598,2
C1CC2CCC1CC2,-99.04,0.0,1
C1CC2CCC1CCC3CCC(CC2)CC3,-152.0,0.0,1
C1CC2CCC1CNC2,-43.68,0.0,1
C1CC2CCC1COC2,-222.6,0.0,1
C1CC2CCC2=C1,167.0,0.0,1
C1CC2CCC3CCC1C23,-102.3,0.0,1
C1CC2CCC=C(C1)C2,31.0,0.0,1
C1CC2CCCC(C1)C2,-128.0,0.0,1
C1CC2CCCC(C1)CC2,-106.0,0.0,1
C1CC2CCCC(C1)CCC2,-89.0,0.0,1
C1CC2CCCN2C1,-3.9,0.0,1
C1CC2C\C=C/CC1C=C2,117.0,0.0,1
C1CC2OC2C1,-97.1,0.0,1
C1CC=C1,157.0,0.0,1
C1CC=C2CCC(C1)C2,73.6,0.0,1
C1CC=C2CCC2=C1,222.0,0.0,1
C1CC=CC1,33.95,1.4821,4
C1CC=CC=C1,104.58,0.0,1
C1CC=CCCC=C1,57.0,0.0,1
C1CC=CCN1,30.0,0.0,1
C1CC=CO1,-72.25,0.0,1
C1CC=CS1,90.7,0.0,1
C1CC=C\C(C1)=C/2CCCC=C2,92.5,0.0,1
C1CC=C\C(C1)=C\2CCCC=C2,91.2,0.0,1
C1CC=NC1,63.0,0.0,1
C1CCC#CCCCCCC#CCC1,313.8,0.0,1
C1CCC(C1)(c2ccccc2)C3(CCCC3)c4ccccc4,111.0,0.0,1
C1CCC(CC1)(c2ccccc2)C3(CCCCC3)c4ccccc4,44.0,0.0,1
C1CCC(CC1)C2CCCCC2,-216.85,2.192,2
C1CCC(CC1)c2ccccc2,-15.45,1.7678,2
C1CCC/C=C/CC1,19.8,0.2828,2
C1CCC2(CC1)CCCC2,-145.1,0.0,1
C1CCC23CCC2(C1)C=CC=C3,157.4,0.0,1
C1CCC2=C(C1)CC2,96.2,0.0,1
C1CCC2=CC=CC=C(C1)C2,146.0,0.0,1
C1CCC2=CCC(C1)C2,49.8,0.0,1
C1CCC2C=CC2C1,120.5,0.0,1
C1CCC2CC2C1,6.5,6.364,2
C1CCC2CC2CC1,-17.0,0.0,1
C1CCC2CCC2C1,-26.0,0.0,1
C1CCC2CCCC2CC1,-130.1,0.0,1
C1CCC2OC2C1,-123.85,2.3335,2
C1CCC2OC2CC1,-152.3,0.0,1
C1CCC=CC1,-5.355,1.2313,4
C1CCCC(CCC1)(c2ccccc2)C3(CCCCCCC3)c4ccccc4,69.0,0.0,1
C1CCCC1,-76.8467,0.4225,3
C1CCCC2OC2CC1,-165.1,0.0,1
C1CCCCC1,-123.6667,0.8145,3
