InChIKey,n_rows,n_datasets,datasets,target_min,target_max,dataset_rows,smiles_examples
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,2,2,mp;st,-6.0,0.04279,mp:2215 | st:170,Nc1ccccc1
PAFZNILMFXTMIY-UHFFFAOYSA-N,2,2,mp;st,-18.0,0.03154,mp:2216 | st:197,NC1CCCCC1
PIICEJLVQHRZGT-UHFFFAOYSA-N,2,2,mp;st,0.0418,8.5,mp:2259 | st:64,NCCN
HZAXFHJVJLSVMW-UHFFFAOYSA-N,2,2,mp;st,0.04796,11.0,mp:2262 | st:80,NCCO
LQNUZADURLCDLV-UHFFFAOYSA-N,2,2,mp;st,0.0425,5.0,mp:2359 | st:283,O=[N+]([O-])c1ccccc1
DTQVDTLACAAQTR-UHFFFAOYSA-N,2,2,mp;st,-15.0,0.01344,mp:2473 | st:323,O=C(O)C(F)(F)F
SESFRYSPDFLNCH-UHFFFAOYSA-N,2,2,mp;st,0.0425,18.0,mp:2656 | st:171,O=C(OCc1ccccc1)c1ccccc1
JJWKPURADFRFRB-UHFFFAOYSA-N,2,2,mp;st,-139.0,0.00693,mp:2667 | st:192,O=C=S
HUMNYLRZRPPJDN-UHFFFAOYSA-N,2,2,mp;st,-56.0,0.0421,mp:2809 | st:167,O=Cc1ccccc1
HYBBIBNJHNGZAN-UHFFFAOYSA-N,2,2,mp;st,-36.0,0.04295,mp:2816 | st:248,O=Cc1ccco1
BDAGIHXWWSANSR-UHFFFAOYSA-N,2,2,mp;st,0.03817,8.0,mp:2821 | st:261,O=CO
RHQDFWAXVIIEBN-UHFFFAOYSA-N,2,2,mp;st,-43.5,0.02111,mp:2959 | st:121,OCC(F)(F)F
PEDCQBHIVMGVHV-UHFFFAOYSA-N,2,2,mp;st,0.0625,17.8,mp:2963 | st:66,OCC(O)CO
YPFDHNVEDLHUCE-UHFFFAOYSA-N,2,2,mp;st,-27.0,0.053125,mp:3005 | st:72,OCCCO
GSEJCLTVZPLZKY-UHFFFAOYSA-N,2,2,mp;st,0.04588,19.5,mp:3007 | st:327,OCCN(CCO)CCO
ZHNUHDYFZUAESO-UHFFFAOYSA-N,2,2,mp;st,0.05651,2.0,mp:2131 | st:247,NC=O
PYLWMHQQBFSUBP-UHFFFAOYSA-N,2,2,mp;st,-40.0,0.02743,mp:1979 | st:245,Fc1ccccc1
BZLVMXJERCGZMT-UHFFFAOYSA-N,2,2,mp;st,-109.0,0.01815,mp:1766 | st:46,COC(C)(C)C
AITNMTXHTIIIBB-UHFFFAOYSA-N,2,2,mp;st,-16.0,0.0343,mp:1973 | st:7,Fc1ccc(Br)cc1
SPEUIVXLLWOEMJ-UHFFFAOYSA-N,2,2,mp;st,-113.0,0.0209,mp:1767 | st:146,COC(C)OC
TZIHFWKZFHZASV-UHFFFAOYSA-N,2,2,mp;st,-100.0,0.023027,mp:1770 | st:265,COC=O
ZRSNZINYAWTAHE-UHFFFAOYSA-N,2,2,mp;st,-1.0,0.0418,mp:1844 | st:160,COc1ccc(C=O)cc1
CFBYEGUGFPZCNF-UHFFFAOYSA-N,2,2,mp;st,0.0484,9.4,mp:1907 | st:27,COc1ccccc1[N+](=O)[O-]
XNWFRZJHXBZDAG-UHFFFAOYSA-N,2,2,mp;st,-85.0,0.03082,mp:1924 | st:94,COCCO
SBZXBUIDTXKZTM-UHFFFAOYSA-N,2,2,mp;st,-64.0,0.02456,mp:1928 | st:136,COCCOCCOC
NKDDWNXOKDWJAK-UHFFFAOYSA-N,2,2,mp;st,-105.0,0.020358,mp:1929 | st:219,COCOC
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,2,2,mp;st,0.0425,18.4,mp:1949 | st:224,CS(C)=O
YFMFNYKEUDLDTL-UHFFFAOYSA-N,2,2,mp;st,-131.0,0.006774,mp:1953 | st:91,FC(C(F)(F)F)C(F)(F)F
CYRMSUTZVYGINF-UHFFFAOYSA-N,2,2,mp;st,-110.5,0.0173,mp:1954 | st:320,FC(Cl)(Cl)Cl
