smiles,mean,std,n
C1c2ccccc1cccc2,254.0,0.0,1
C=C1C2CCC2C1=C,276.0,0.0,1
C=C1C2CCC=CC12,209.1,0.0,1
C=C1CC(=O)O1,-233.1,0.0,1
C=C1CC2CCC1C2,-4.1,0.0,1
C=C1CC2CCC1CC2,-54.4,0.0,1
C=C1CCCC1,-20.2,0.0,1
C=CC#N,143.55,5.0205,2
C=CC(=C)C(=C)C=C,220.0,0.0,1
C=CC1CC1,102.5,0.0,1
C=CC1CC2CC1C=C2,115.3667,0.9815,3
C=CC1CCC=CC1,29.7,0.0,1
C=CC1CCCC1,-34.8,0.0,1
C=CC1CCCCC1,-88.78,0.0,1
C=CC=C,90.5,0.0,1
C=CCC#N,117.7,0.0,1
C=CCC1CCCC1,-66.0,0.0,1
C=CCN1CCCCC1,-36.4,0.0,1
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-551.1,1.8385,2
C=CCOc1ccccc1,-37.7,0.0,1
C=COc1ccccc1,-26.0,0.0,1
C=CSC=C,67.7,0.0,1
C=C[C@@H]1CC2CC1C=C2,114.8,0.0,1
C=C[C@H]1CC2CC1C=C2,114.8,0.0,1
C=C[S](=O)(=O)C=C,-210.05,4.1719,2
C=C[S](=O)C=C,-26.2,0.0,1
C=Cc1ccccn1,157.0,0.0,1
C=Cc1occc1,-10.0,0.0,1
CBr,-60.6,0.0,1
CC#CC#CC,335.2,0.0,1
CC#CC#CC1CC1,432.8,0.0,1
CC#N,35.98,6.4771,2
CC(=C)C#C,231.0,0.0,1
CC(=C)C#CC#CC(C)=C,444.0,0.0,1
CC(=C)C(=O)OCC1CO1,-455.4,0.0,1
CC(=C)C(O)=O,-417.25,3.4648,2
CC(=C)C=O,-138.6,0.0,1
CC(=C)OC(C)=O,-386.2,0.0,1
CC(=C)c1ccc(C)cc1C,-23.0,0.0,1
CC(=O)/C(O)=C/c1ccccc1,330.0,0.0,1
CC(=O)C(=O)Cc1ccccc1,-310.0,0.0,1
CC(=O)C(C)(C)C,-328.54,0.0,1
CC(=O)C1CC1,-154.7,0.0,1
CC(=O)C=O,-309.0,0.0,1
CC(=O)CC(=O)C(F)(F)F,-1040.2,0.0,1
CC(=O)CC(=O)c1ccccc1,-340.0,0.0,1
CC(=O)CC(C)(C)O,-592.8,0.0,1
CC(=O)Cc1ccccc1,-155.5667,6.0078,3
CC(=O)N(C(C)=O)C(C)=O,-610.49,0.0,1
CC(=O)OC(C)(C)C,-554.5,0.0,1
CC(=O)OC(C)(C)OC(C)=O,-887.3,0.0,1
CC(=O)OC(C)=O,-625.0,0.0,1
CC(=O)OC1CCCCC1,-558.9,0.0,1
CC(=O)OC1COCC1OC(C)=O,-978.0,0.0,1
CC(=O)OC=C,-348.4,3.3941,2
CC(=O)OCC(CO)OC(C)=O,-1120.7,0.0,1
CC(=O)OCC(COC(C)=O)OC(C)=O,-1330.8,0.0,1
CC(=O)OCC(O)CO,-903.53,0.0,1
CC(=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,-451.0,0.0,1
CC(=O)OCOC(C)=O,-837.04,0.0,1
CC(=O)OOC(C)=O,-535.0,0.0,1
CC(=O)O[C@@H]1COC[C@H]1OC(C)=O,-980.6,0.0,1
CC(=O)O[CH]1C[C](=[CH2])C1,-484.5,0.0,1
CC(=O)O[N+]([O-])=O,-331.0,0.0,1
CC(=O)Oc1ccccc1,-330.4,6.2225,2
CC(=O)c1c(C)cc(C)cc1C,-267.0,0.0,1
CC(=O)c1cc(C)c(C)cc1C,-252.0,0.0,1
CC(=O)c1ccccc1,-142.5,0.0,1
CC(Br)=O,-224.65,1.9092,2
CC(Br)CCBr,-147.8,0.0,1
CC(Br)CCCBr,-173.2,0.0,1
CC(C(C)=O)C(C)=O,-437.0,0.0,1
CC(C)(Br)CBr,-153.55,4.3134,2
CC(C)(C#C)C#C,348.7,0.0,1
CC(C)(C(O)=O)C(O)=O,-797.1,0.0,1
CC(C)(C)/C=C/c1ccccc1,-22.6,0.0,1
CC(C)(C)C,-189.25,1.4849,2
CC(C)(C)C#C,78.0667,0.3786,3
CC(C)(C)C#CC#CC(C)(C)C,156.1,0.0,1
CC(C)(C)C#N,-39.9,0.0,1
CC(C)(C)C(=O)C#Cc1ccccc1,-1.2,0.1414,2
CC(C)(C)C(=O)C(C)(C)C,-391.2,0.0,1
CC(C)(C)C(=O)CC(=O)C(C)(C)C,-587.8,0.1414,2
CC(C)(C)C(=O)c1ccccc1,-208.8,0.0,1
CC(C)(C)C(C)(C)Cl,-290.0,0.0,1
CC(C)(C)CC(=O)C(C)(C)C,-442.7,0.0,1
CC(C)(C)CC(=O)CC(C)(C)C,-474.1,0.0,1
CC(C)(C)CC(C)(C)N=NC(C)(C)C,-173.0,0.0,1
CC(C)(C)COCO,-480.6,0.0,1
CC(C)(C)CS,-165.1,0.0,1
CC(C)(C)Cl,-211.2,0.0,1
CC(C)(C)N(F)F,-221.0,0.0,1
CC(C)(C)N(F)[N+]([O-])=O,-131.0,0.0,1
CC(C)(C)N=NC(C)(C)C,-75.1,0.5657,2
CC(C)(C)N=[N+]([O-])C(C)(C)C,-153.5,0.0,2
CC(C)(C)O,-358.1667,1.8771,3
CC(C)(C)OC(=O)C(F)(F)F,-1135.0,0.0,1
CC(C)(C)OC(C)(C)C,-400.0167,1.8113,3
CC(C)(C)OC=O,-493.0,0.0,1
CC(C)(C)OCC1CO1,-369.3333,0.5774,3
CC(C)(C)ON=O,-206.0,0.0,1
CC(C)(C)OO,-294.0,0.0,1
CC(C)(C)OOC(=O)/C=C/C(=O)OCC=C,-673.2,0.0,1
CC(C)(C)OOC(=O)CCC(=O)OCC=C,-817.0,0.0,1
CC(C)(C)OOC(C)(C)C,-382.2667,2.3692,3
CC(C)(C)OOC(C)(C)C#CC=C,-28.9,0.0,1
CC(C)(C)OOC(C)(C)CCC(C)(C)O,-695.9,0.0,1
CC(C)(C)OOC(C)(C)CCC(C)(C)OO,-636.0,0.0,1
CC(C)(C)OOC(C)(C)c1ccccc1,-263.0,0.0,1
CC(C)(C)OOCC(O)CO,-719.2,0.0,1
CC(C)(C)OOCC1CO1,-319.0,0.0,2
CC(C)(C)S,-140.5,0.0,1
CC(C)(C)SC(C)(C)C,-232.5,0.2828,2
CC(C)(C)SCC=C,-90.7,0.0,1
CC(C)(C)SSC(C)(C)C,-252.0,1.4142,2
CC(C)(C)\C=C/c1ccccc1,-31.8,0.0,1
CC(C)(C)c1cc(Cl)cc(c1)C(C)(C)C,-229.0,0.0,1
CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,-306.8,0.0,1
CC(C)(C)c1ccc(Cl)c(c1)C(C)(C)C,-206.0,0.0,1
CC(C)(C)c1ccc(Cl)cc1,-108.0,0.0,1
CC(C)(C)c1ccc(cc1)C(=O)c2ccccc2,-136.0,0.0,1
CC(C)(C)c1ccc(cc1)C(C)(C)C,-188.9,0.0,1
CC(C)(C)c1ccc2ccccc2c1,-26.3,0.0,1
CC(C)(C)c1cccc(Cl)c1,-109.0,0.0,1
CC(C)(C)c1cccc(c1)C(C)(C)C,-187.4,0.0,1
CC(C)(C)c1cccc(c1O)c2ccccc2,-164.0,0.0,1
CC(C)(C)c1ccccc1,-70.8,0.0,1
CC(C)(C)c1ccccc1Cl,-87.0,0.0,1
CC(C)(C)c1ccccc1O,-280.0,0.0,1
CC(C)(CCC(C)(C)C#C)C#C,211.1,0.0,1
CC(C)(CN(F)F)N(F)F,-260.3,0.0,1
CC(C)(Cl)Cl,-206.0,0.0,1
CC(C)(Cl)c1ccccc1,-76.0,0.0,1
CC(C)(N)CN,-134.0,0.0,1
CC(C)(O)C#CC=C,-14.6,0.0,1
CC(C)(O)C#N,-120.9,0.0,1
CC(C)(O)C(C)(C)O,-606.3,0.0,1
CC(C)(O)C(C)(C)OC=O,-732.3,0.0,1
CC(C)(O)C1(C)OCCCO1,-709.0,0.0,1
CC(C)(O)C=C,-181.7,0.0,1
CC(C)(O)CO,-540.0,0.0,1
CC(C)(OO)C#CC=C,63.6,0.0,1
CC(C)(OO)c1ccccc1,-149.0,0.0,1
CC(C)=C(C)C,-102.9,0.0,1
CC(C)=CC(C)=O,-219.99,1.4001,2
CC(C)=CC=C(C)C,-63.12,0.0,1
CC(C)=CCCC(C)=CC=CC(C)=O,-213.4,0.0,1
CC(C)=CCCC(\C)=C\C=C\C(C)=O,-261.5,0.0,1
CC(C)=NNc1ccccc1,-161.3,0.0,1
CC(C)=O,-249.4,0.0,1
CC(C)Br,-129.05,0.0707,2
CC(C)C#N,-13.0,1.1314,2
CC(C)C(=O)C(C)(C)C,-381.6,0.0,1
CC(C)C(=O)C(C)C,-352.9,0.0,1
CC(C)C(=O)CC(=O)C(C)(C)C,-568.25,0.2121,2
CC(C)C(=O)CC(=O)C(C)C,-527.05,0.3536,2
CC(C)C(C)(C)C,-237.45,0.7778,2
CC(C)C(C)(C)Cl,-262.0,0.0,1
CC(C)C(C)(C)O,-411.0,0.0,1
CC(C)C(C)(C)S,-187.2,0.0,1
CC(C)C(C)(O)c1ccccc1,-278.7,0.0,1
CC(C)C(C)=C,-95.1,0.0,1
CC(C)C(C)=O,-299.47,0.0,1
CC(C)C(C)C,-207.0,0.0,1
CC(C)C(C)C(C)C,-255.2,0.0,1
CC(C)C(C)O,-368.25,2.3335,2
CC(C)C(C)S,-158.4,0.0,1
CC(C)C1CCC(=CC1)C,-159.8,0.0,1
CC(C)C1CCc2ccc(C)cc12,-113.0,0.0,1
CC(C)C1COC1=O,-422.2,0.0,1
CC(C)C=C,-51.6,0.0,1
CC(C)C=O,-248.15,1.4012,4
CC(C)CBr,-160.0,0.0,1
CC(C)CC(=O)CC(C)C,-408.6,0.0,1
CC(C)CC(=O)c1ccccc1,-220.2,0.0,1
CC(C)CC(C)(C)C,-259.3,0.0,1
CC(C)CC(C)(C)Cl,-277.0,0.0,1
CC(C)CC(C)C,-236.5,2.1213,2
CC(C)CC(C)C(C)C,-284.0,0.0,1
CC(C)CC(C)O,-394.7,0.0,1
CC(C)CC(O)=O,-561.6,0.0,1
CC(C)CC=C,-78.22,0.0,1
CC(C)CCC(C)(C)C,-293.3,0.0,1
CC(C)CCC(C)C,-260.5,0.0,1
CC(C)CCCC(C)CCCC(C)(O)C#C,-338.7333,1.5011,3
CC(C)CCCC(C)CCCC(C)=O,-556.7,0.0,1
CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C#C,-434.3667,5.8312,3
CC(C)CCCC(C)CCCC(C)CCCC(C)=O,-628.75,3.7477,2
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-865.05,0.495,2
CC(C)CCCC(C)CCCC(\C)=C\C=C\C(C)=O,-449.3,2.4042,2
